text,frequency
장어,60
손질,60
강아지,60
육수,60
개,60
빙수,30
간장,30
양파,30
생강,30
라면,30
대파,20
맛소금,20
야채,20
연어,20
버섯,20
소,20
꼬리,20
장사,20
안주,20
갈기,20
