text,frequency
백종원,60
설탕,60
개,60
계란,60
음식,60
떡볶이,30
양파,30
요리,30
소금,30
양념치킨,30
치킨,20
라면,20
식초,20
맛,20
춘장,20
간장,20
참기름,20
닭백숙,20
기름,20
된장,20
