text,frequency
김치,60
간장,60
노릇,60
삼겹살,60
백종원,60
설탕,30
참기름,30
양파,30
당근,30
레시피,30
고춧가루,20
막걸리,20
기름,20
마늘,20
식감,20
양념,20
깨소금,20
개,20
돼지고기,20
대파,20
