text,frequency
리신,60
롤,60
정글,60
메이플스토리,60
그라가스,60
분양,30
가렌,30
개,30
캐릭,30
배그,30
리쉰,20
메이플,20
컴퓨터,20
롤린,20
레벨,20
돼지,20
개구리,20
배틀,20
게,20
라운드,20
