text,frequency
김치,60
맛,60
기름,60
안주,60
고기,60
식사,30
국밥,30
양파,30
마늘,30
볶음밥,30
대파,20
먹방,20
술안주,20
밥,20
전자렌지,20
단백질,20
보쌈,20
냉장고,20
냉장,20
개,20
