text,frequency
피자,60
소스,60
불고기,60
요리,60
고르곤졸라,60
감자,30
또띠아,30
원숭이,30
베이컨,30
모짜렐라,30
밀가루,20
소금,20
올리브,20
오븐,20
토마토,20
양파,20
새우,20
버터,20
맛,20
발효,20
