text,frequency
쟁반,60
스카너,60
딜러,60
앞치마,60
분양,60
버그,30
딜,30
아이템,30
패치,30
평타,30
생강,20
개,20
소,20
숟가락,20
쌀,20
랭크,20
레스토랑,20
메뉴,20
게,20
겜,20
