text,frequency
박지성,60
손흥민,60
호날두,60
맨유,60
골,60
유나이티드,30
차범근,30
경기,30
세컨볼,30
구단,30
축구선수,20
골키퍼,20
축구,20
이강인,20
맨체스터,20
감독,20
발효,20
스트라이커,20
공,20
은퇴,20
