text,frequency
닭볶음탕,60
설탕,60
닭,60
채식주의자,60
간장,60
양파,30
레시피,30
감자,30
마늘,30
백종원,30
떡볶이,20
당근,20
안동찜닭,20
양념,20
표고버섯,20
맛,20
고춧가루,20
대파,20
개,20
송이버섯,20
