text,frequency
털,60
웰시코기,60
웰시,60
강아지,60
입양,60
고양이,30
반려견,30
꼬리,30
사모예드,30
치와와,30
개,20
토끼,20
집사,20
웰시,20
스패니얼,20
사모예드,20
포메라니안,20
장모종,20
동물농장,20
리트리버,20
