text,frequency
양파,60
양념장,60
국수,60
백종원,60
비빔국수,60
대파,30
레시피,30
설탕,30
김치,30
물엿,30
마늘,20
간장,20
참기름,20
고기,20
단맛,20
컵,20
돼지고기,20
육수,20
떡볶이,20
흑설탕,20
