text,frequency
강아지,60
반려동물,60
유기견,60
셰퍼드,60
집사,60
견종,30
보더콜리,30
웰시코기,30
호두,30
토끼,30
너구리,20
두더지,20
표범,20
멧돼지,20
믹스견,20
반려견,20
사막여우,20
하이에나,20
주인,20
말,20
