text,frequency
연어,60
양식,60
맛,60
먹방,60
향,60
허브,30
멧돼지,30
간장,30
사료,30
푸드,30
냉동,20
맥주,20
냉장고,20
냉장,20
술안주,20
입맛,20
숟가락,20
스테이크,20
소금,20
단맛,20
