text,frequency
냄새,60
티몬,60
왜,60
비비,60
사랑,60
고,30
다운,30
의,30
광고,30
그,30
뎈,20
앜,20
양말,20
음악,20
너,20
다우니,20
드라마,20
영상,20
우리,20
거기,20
