text,frequency
분양,60
고양이,60
고양이,60
입양,60
길냥이,60
집사,30
새끼,30
스패니얼,30
꼬리,30
동물,30
유기,20
웰시,20
접시,20
치와와,20
장사,20
포메라니안,20
길고양이,20
비글,20
라면,20
스프,20
