text,frequency
기생수,20
신이치,19
인간,13
그,10
거,9
것,9
엄마,8
이,7
또,7
오른손,6
뭐,6
때,5
수,5
양분,5
음악,4
의,4
너,4
네트워크,4
뇌,4
타,4
