text,frequency
백호,60
반려동물,60
강아지,60
웰시코기,60
털,60
개,30
고양이,30
동물,30
리트리버,30
집사,30
말,20
호랑이,20
미용,20
미션,20
버섯,20
식빵,20
산책,20
여우,20
냄새,20
개털,20
