text,frequency
선수,60
경기,60
심판,60
이,60
대회,40
동준,40
두바이,40
응원,40
존잘,40
것,20
김학범,20
이번,20
경쟁,20
오세훈,20
이동준,20
좀,20
컵,20
투입,20
한국,20
희비,20
