text,frequency
접시,60
마늘,60
토마토,60
파스타,60
고기,60
요리,30
소금,30
와플,30
소스,30
양파,30
레스토랑,20
비빔밥,20
맛,20
먹방,20
주걱,20
올리브오일,20
음식,20
숟가락,20
올리브,20
재료,20
